t_num	t_den	p	r	boundary	jorder	jmod3	allowed
1	2	61	51	0	3072	0	1
1	2	61	52	0	2304	0	1
1	2	61	53	0	3072	0	1
1	2	61	54	0	3456	0	1
1	2	61	55	0	3072	0	1
1	2	61	56	1	0	-1	1
1	2	61	57	0	2688	0	1
1	2	61	58	0	2688	0	1
1	2	61	59	0	2688	0	1
1	2	61	60	1	0	-1	1
1	2	61	inf	1	0	-1	1
1	2	67	0	1	0	-1	1
1	2	67	1	1	0	-1	1
1	2	67	2	0	5760	0	1
1	2	67	3	0	5760	0	1
1	2	67	4	0	5120	2	0
1	2	67	5	0	5760	0	1
1	2	67	6	0	4480	1	0
1	2	67	7	0	5120	2	0
1	2	67	8	0	5760	0	1
1	2	67	9	0	5760	0	1
1	2	67	10	0	4480	1	0
1	2	67	11	0	5120	2	0
1	2	67	12	0	4480	1	0
1	2	67	13	0	4480	1	0
1	2	67	14	0	5760	0	1
1	2	67	15	0	5760	0	1
1	2	67	16	0	6400	1	0
1	2	67	17	0	5120	2	0
1	2	67	18	0	5120	2	0
1	2	67	19	0	5120	2	0
1	2	67	20	0	6400	1	0
1	2	67	21	0	6400	1	0
1	2	67	22	0	4480	1	0
1	2	67	23	0	5120	2	0
1	2	67	24	0	5760	0	1
1	2	67	25	0	5120	2	0
1	2	67	26	0	6400	1	0
1	2	67	27	0	5760	0	1
1	2	67	28	0	4480	1	0
1	2	67	29	0	6400	1	0
1	2	67	30	0	5120	2	0
1	2	67	31	0	4480	1	0
1	2	67	32	0	5760	0	1
1	2	67	33	0	5760	0	1
1	2	67	34	0	5760	0	1
1	2	67	35	0	5120	2	0
1	2	67	36	0	5760	0	1
1	2	67	37	0	6400	1	0
1	2	67	38	0	5120	2	0
1	2	67	39	1	0	-1	1
1	2	67	40	0	5120	2	0
1	2	67	41	0	5120	2	0
1	2	67	42	0	5760	0	1
1	2	67	43	0	5120	2	0
1	2	67	44	0	5760	0	1
1	2	67	45	0	5760	0	1
1	2	67	46	0	5760	0	1
1	2	67	47	0	4480	1	0
1	2	67	48	0	5120	2	0
1	2	67	49	0	6400	1	0
1	2	67	50	0	4480	1	0
1	2	67	51	0	5760	0	1
1	2	67	52	1	0	-1	1
1	2	67	53	0	5120	2	0
1	2	67	54	0	5760	0	1
1	2	67	55	1	0	-1	1
1	2	67	56	0	4480	1	0
1	2	67	57	0	6400	1	0
1	2	67	58	1	0	-1	1
1	2	67	59	0	5120	2	0
1	2	67	60	0	5120	2	0
1	2	67	61	0	5120	2	0
1	2	67	62	0	5120	2	0
1	2	67	63	0	4480	1	0
1	2	67	64	0	4480	1	0
1	2	67	65	0	5760	0	1
1	2	67	66	1	0	-1	1
1	2	67	inf	1	0	-1	1
1	2	71	0	1	0	-1	1
1	2	71	1	1	0	-1	1
1	2	71	2	0	5760	0	1
1	2	71	3	0	5760	0	1
1	2	71	4	0	5120	2	0
1	2	71	5	1	0	-1	1
1	2	71	6	0	5760	0	1
1	2	71	7	0	4480	1	0
1	2	71	8	0	5120	2	0
1	2	71	9	0	5120	2	0
1	2	71	10	0	5760	0	1
1	2	71	11	0	5120	2	0
1	2	71	12	0	5760	0	1
1	2	71	13	0	5120	2	0
1	2	71	14	0	7040	2	0
1	2	71	15	0	5760	0	1
